binomial,valid,Order,suborder,Family,length,lengthmeasure,conversion,intercept,slope,logmass,mass,intree,nameintree
Lerista microtis,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Lerista microtis
Liburnascincus mundivensis,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Carlia mundivensis
Papuascincus stanleyanus,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Papuascincus stanleyanus
Parvoscincus leucospilos,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Sphenomorphus leucospilos
Plestiodon lagunensis,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Plestiodon lagunensis
Pseudemoia cryodroma,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,no,NA
Saproscincus spectabilis,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Saproscincus spectabilis
Scincella reevesii,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Scincella reevesii
Sigaloseps ruficauda,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Sigaloseps ruficauda
Sphenomorphus diwata,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Sphenomorphus diwata
Sphenomorphus sabanus,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Sphenomorphus sabanus
Sphenomorphus tenuiculus,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,no,NA
Trachylepis acutilabris,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,yes,Trachylepis acutilabris
Trachylepis bensonii,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,no,NA
Trachylepis punctulata,yes,Squamata,Sauria,Scincidae,60.0,SVL,Legged Scincidae,-5.125,3.229,0.62,4.1,no,NA
Dryadosaura nordestina,yes,Squamata,Sauria,Gymnophthalmidae,57.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.62,4.2,no,NA
Macropholidus huancabambae,yes,Squamata,Sauria,Gymnophthalmidae,57.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.62,4.2,no,NA
Ptychoglossus danieli,yes,Squamata,Sauria,Gymnophthalmidae,57.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.62,4.2,no,NA
Ptychoglossus festae,yes,Squamata,Sauria,Gymnophthalmidae,57.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.62,4.2,no,NA
Ptychoglossus kugleri,yes,Squamata,Sauria,Gymnophthalmidae,57.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.62,4.2,no,NA
Phyllodactylus martini,yes,Squamata,Sauria,Phyllodactylidae,54.0,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.62,4.2,no,NA
Darevskia schaekeli,yes,Squamata,Sauria,Lacertidae,56.2,SVL,Lacertidae,-4.543,2.951,0.62,4.2,no,NA
Diplodactylus vittatus,yes,Squamata,Sauria,Diplodactylidae,59.5,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.62,4.2,yes,Diplodactylus vittatus
Diplodactylus wiru,yes,Squamata,Sauria,Diplodactylidae,59.5,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.62,4.2,no,NA
Sphenomorphus cyanolaemus,yes,Squamata,Sauria,Scincidae,60.2,SVL,Legged Scincidae,-5.125,3.229,0.62,4.2,yes,Sphenomorphus cyanolaemus
Asaccus zagrosicus,yes,Squamata,Sauria,Phyllodactylidae,54.1,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.62,4.2,no,NA
Anolis distichus,yes,Squamata,Sauria,Dactyloidae,58.4,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.62,4.2,yes,Anolis distichus
Acontias litoralis,yes,Squamata,Sauria,Scincidae,125.9,SVL,Limbless lizards,-4.207,2.300,0.62,4.2,yes,Microacontias litoralis
Lepidophyma lowei,yes,Squamata,Sauria,Xantusiidae,60.0,SVL,Xantusiidae,-4.796,3.048,0.62,4.2,yes,Lepidophyma lowei
Xantusia arizonae,yes,Squamata,Sauria,Xantusiidae,60.0,SVL,Xantusiidae,-4.796,3.048,0.62,4.2,yes,Xantusia arizonae
Lerista colliveri,yes,Squamata,Sauria,Scincidae,90.0,SVL,leg_reduced lizards,-4.207,2.472,0.62,4.2,no,NA
Lerista eupoda,yes,Squamata,Sauria,Scincidae,90.0,SVL,leg_reduced lizards,-4.207,2.472,0.62,4.2,yes,Lerista eupoda
Scelotes inornatus,yes,Squamata,Sauria,Scincidae,90.0,SVL,leg_reduced lizards,-4.207,2.472,0.62,4.2,no,NA
Brookesia decaryi,yes,Squamata,Sauria,Chamaeleonidae,53.0,SVL,Chamaeleonidae,-3.997,2.680,0.62,4.2,yes,Brookesia decaryi
Brookesia therezieni,yes,Squamata,Sauria,Chamaeleonidae,53.0,SVL,Chamaeleonidae,-3.997,2.680,0.62,4.2,yes,Brookesia therezieni
Brookesia valerieae,yes,Squamata,Sauria,Chamaeleonidae,53.0,SVL,Chamaeleonidae,-3.997,2.680,0.62,4.2,yes,Brookesia valerieae
Anolis dunni,yes,Squamata,Sauria,Dactyloidae,58.5,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.62,4.2,no,NA
Homonota underwoodi,yes,Squamata,Sauria,Phyllodactylidae,54.2,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.63,4.2,yes,Homonota underwoodi
Gonatodes nascimentoi,yes,Squamata,Sauria,Sphaerodactylidae,55.7,SVL,Sphaerodactylidae (Novosolov et al. 2013),-4.559,2.970,0.63,4.2,no,NA
Delma australis,yes,Squamata,Sauria,Pygopodidae,93.0,SVL,Pygopodidae,-2.039,1.371,0.63,4.2,yes,Delma australis
Delma tealei,yes,Squamata,Sauria,Pygopodidae,88.0,SVL,Pygopodidae,-2.039,1.371,0.63,4.2,no,NA
Afroedura granitica,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Afroedura pondolia,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Afroedura pondolia
Hemidactylus albivertebralis,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Hemidactylus muriceus,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Hemidactylus vietnamensis,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Matoatoa spannringi,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Nactus eboracensis,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Nactus eboracensis
Pachydactylus maculatus,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Pachydactylus maculatus
Pachydactylus mariquensis,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Pachydactylus mariquensis
Pachydactylus oshaughnessyi,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Pachydactylus oshaughnessyi
Paroedura hordiesi,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Phelsuma berghofi,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Phelsuma berghofi
Phelsuma inexpectata,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,yes,Phelsuma inexpectata
Rhoptropus diporus,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Urocotyledon palmata,yes,Squamata,Sauria,Gekkonidae,58.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.2,no,NA
Cnemaspis bidongensis,yes,Squamata,Sauria,Gekkonidae,58.1,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.63,4.3,no,NA
Riama aurea,yes,Squamata,Sauria,Gymnophthalmidae,57.4,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.63,4.3,no,NA
Rhampholeon tilburyi,yes,Squamata,Sauria,Chamaeleonidae,53.3,SVL,Chamaeleonidae,-3.997,2.680,0.63,4.3,no,NA
Draco modiglianii,yes,Squamata,Sauria,Agamidae,74.2,SVL,Draco**,-4.310,2.642,0.63,4.3,no,NA
Eurydactylodes agricolae,yes,Squamata,Sauria,Diplodactylidae,60.0,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.63,4.3,yes,Eurydactylodes agricolae
Strophurus wilsoni,yes,Squamata,Sauria,Diplodactylidae,60.0,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.63,4.3,no,NA
Scincella devorator,yes,Squamata,Sauria,Scincidae,60.7,SVL,Legged Scincidae,-5.125,3.229,0.63,4.3,no,NA
Lepidoblepharis grandis,yes,Squamata,Sauria,Sphaerodactylidae,56.0,SVL,Sphaerodactylidae (Novosolov et al. 2013),-4.559,2.970,0.63,4.3,no,NA
Anolis magnaphallus,yes,Squamata,Sauria,Dactyloidae,58.9,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.63,4.3,no,NA
Darevskia kopetdaghica,yes,Squamata,Sauria,Lacertidae,56.8,SVL,Lacertidae,-4.543,2.951,0.63,4.3,no,NA
Emoia kordoana,yes,Squamata,Sauria,Scincidae,60.8,SVL,Legged Scincidae,-5.125,3.229,0.64,4.3,no,NA
Cnemaspis aurantiacopes,yes,Squamata,Sauria,Gekkonidae,58.4,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.64,4.3,no,NA
Anolis calimae,yes,Squamata,Sauria,Dactyloidae,59.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.3,yes,Anolis calimae
Anolis crassulus,yes,Squamata,Sauria,Dactyloidae,59.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.3,yes,Anolis crassulus
Anolis sminthus,yes,Squamata,Sauria,Dactyloidae,59.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.3,yes,Anolis sminthus
Anolis tropidolepis,yes,Squamata,Sauria,Dactyloidae,59.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.3,no,NA
Anolis utilensis,yes,Squamata,Sauria,Dactyloidae,59.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.3,yes,Anolis utilensis
Lerista baynesi,yes,Squamata,Sauria,Scincidae,91.0,SVL,leg_reduced lizards,-4.207,2.472,0.64,4.3,yes,Lerista baynesi
Scelotes bipes,yes,Squamata,Sauria,Scincidae,91.0,SVL,leg_reduced lizards,-4.207,2.472,0.64,4.3,yes,Scelotes bipes
Sepsina angolensis,yes,Squamata,Sauria,Scincidae,91.0,SVL,leg_reduced lizards,-4.207,2.472,0.64,4.3,yes,Sepsina angolensis
Gymnodactylus amarali,yes,Squamata,Sauria,Phyllodactylidae,54.7,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.3,no,NA
Gymnodactylus geckoides,yes,Squamata,Sauria,Phyllodactylidae,54.7,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.3,no,NA
Dibamus dalaiensis,yes,Squamata,Sauria,Dibamidae,127.6,SVL,Limbless lizards,-4.207,2.300,0.64,4.3,no,NA
Liolaemus pachacutec,yes,Squamata,Sauria,Liolaemidae,52.0,SVL,"Liolaeumus, Pincheira-Donoso et al. 2011",-4.678,3.097,0.64,4.3,no,NA
Altiphylax baturensis,yes,Squamata,Sauria,Gekkonidae,58.5,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.64,4.3,no,NA
Luperosaurus brooksii,yes,Squamata,Sauria,Gekkonidae,58.5,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.64,4.3,no,NA
Eurydactylodes symmetricus,yes,Squamata,Sauria,Diplodactylidae,60.3,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.64,4.4,yes,Eurydactylodes symmetricus
Eurydactylodes vieillardi,yes,Squamata,Sauria,Diplodactylidae,60.3,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.64,4.4,yes,Eurydactylodes vieillardi
Darevskia sapphirina,yes,Squamata,Sauria,Lacertidae,57.0,SVL,Lacertidae,-4.543,2.951,0.64,4.4,yes,Darevskia sapphirina
Eremias kokshaaliensis,yes,Squamata,Sauria,Lacertidae,57.0,SVL,Lacertidae,-4.543,2.951,0.64,4.4,no,NA
Mesalina kuri,yes,Squamata,Sauria,Lacertidae,57.0,SVL,Lacertidae,-4.543,2.951,0.64,4.4,no,NA
Ophisops leschenaultii,yes,Squamata,Sauria,Lacertidae,57.0,SVL,Lacertidae,-4.543,2.951,0.64,4.4,no,NA
Ablepharus bivittatus,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Carlia rhomboidalis,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,yes,Carlia rhomboidalis
Carlia rubrigularis,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,yes,Carlia rubrigularis
Cophoscincopus simulans,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Lioscincus greeri,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Lioscincus maruia,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,yes,Lioscincus maruia
Lygosoma popae,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Scincella forbesora,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Sphenomorphus tropidonotus,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Trachylepis lavarambo,yes,Squamata,Sauria,Scincidae,61.0,SVL,Legged Scincidae,-5.125,3.229,0.64,4.4,no,NA
Aprasia clairae,yes,Squamata,Sauria,Pygopodidae,90.0,SVL,Pygopodidae,-2.039,1.371,0.64,4.4,no,NA
Delma desmosa,yes,Squamata,Sauria,Pygopodidae,90.0,SVL,Pygopodidae,-2.039,1.371,0.64,4.4,no,NA
Pletholax gracilis,yes,Squamata,Sauria,Pygopodidae,90.0,SVL,Pygopodidae,-2.039,1.371,0.64,4.4,yes,Pletholax gracilis
Ctenophorus chapmani,yes,Squamata,Sauria,Agamidae,52.0,SVL,Typical Agamidae**,-4.686,3.105,0.64,4.4,no,NA
Ctenophorus parviceps,yes,Squamata,Sauria,Agamidae,52.0,SVL,Typical Agamidae**,-4.686,3.105,0.64,4.4,no,NA
Haemodracon trachyrhinus,yes,Squamata,Sauria,Phyllodactylidae,55.0,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.4,no,NA
Homonota darwinii,yes,Squamata,Sauria,Phyllodactylidae,55.0,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.4,yes,Homonota darwinii
Phyllodactylus leoni,yes,Squamata,Sauria,Phyllodactylidae,55.0,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.4,no,NA
Phyllodactylus lepidopygus,yes,Squamata,Sauria,Phyllodactylidae,55.0,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.64,4.4,no,NA
Anolis polylepis,yes,Squamata,Sauria,Dactyloidae,59.4,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.64,4.4,yes,Anolis polylepis
Potamites juruazensis,yes,Squamata,Sauria,Gymnophthalmidae,58.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.64,4.4,yes,Potamites juruazensis
Proctoporus pachyurus,yes,Squamata,Sauria,Gymnophthalmidae,58.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.64,4.4,yes,Proctoporus pachyurus
Proctoporus xestus,yes,Squamata,Sauria,Gymnophthalmidae,58.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.64,4.4,no,NA
Tretioscincus bifasciatus,yes,Squamata,Sauria,Gymnophthalmidae,58.0,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.64,4.4,no,NA
Gekko similignum,yes,Squamata,Sauria,Gekkonidae,58.9,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Luperosaurus macgregori,yes,Squamata,Sauria,Gekkonidae,58.9,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,yes,Luperosaurus macgregori
Brookesia superciliaris,yes,Squamata,Sauria,Chamaeleonidae,54.0,SVL,Chamaeleonidae,-3.997,2.680,0.65,4.4,yes,Brookesia superciliaris
Gekko wenxianensis,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Lerista allanae,yes,Squamata,Sauria,Scincidae,92.0,SVL,leg_reduced lizards,-4.207,2.472,0.65,4.4,no,NA
Lerista picturata,yes,Squamata,Sauria,Scincidae,92.0,SVL,leg_reduced lizards,-4.207,2.472,0.65,4.4,yes,Lerista picturata
Saiphos equalis,yes,Squamata,Sauria,Scincidae,92.0,SVL,leg_reduced lizards,-4.207,2.472,0.65,4.4,yes,Saiphos equalis
Sepsina tetradactyla,yes,Squamata,Sauria,Scincidae,92.0,SVL,leg_reduced lizards,-4.207,2.472,0.65,4.4,no,NA
Afroedura loveridgei,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Cyrtopodion golubevi,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Cyrtopodion kohsulaimanai,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Gehyra lacerata,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,yes,Gehyra lacerata
Gehyra lazelli,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Hemidactylus endophis,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,no,NA
Hemidactylus mercatorius,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,yes,Hemidactylus mercatorius
Pachydactylus vansoni,yes,Squamata,Sauria,Gekkonidae,59.0,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.4,yes,Pachydactylus vansoni
Pedioplanis huntleyi,yes,Squamata,Sauria,Lacertidae,57.4,SVL,Lacertidae,-4.543,2.951,0.65,4.4,no,NA
Diplodactylus bilybara,new,Squamata,Sauria,Diplodactylidae,60.8,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.65,4.5,no,NA
Hemidactylus saba,yes,Squamata,Sauria,Gekkonidae,59.1,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.65,4.5,no,NA
Emoia pallidiceps,yes,Squamata,Sauria,Scincidae,61.5,SVL,Legged Scincidae,-5.125,3.229,0.65,4.5,no,NA
Pantepuisaurus rodriguesi,yes,Squamata,Sauria,Gymnophthalmidae,58.3,SVL,Legged Gymnophthalmidae,-5.178,3.302,0.65,4.5,no,NA
Delma tincta,yes,Squamata,Sauria,Pygopodidae,92.0,SVL,Pygopodidae,-2.039,1.371,0.65,4.5,yes,Delma tincta
Oedodera marmorata,yes,Squamata,Sauria,Diplodactylidae,61.0,SVL,Diplodactylidae (Scharf et al. 2014),-4.804,3.057,0.65,4.5,yes,Oedodera marmorata
Liolaemus pseudolemniscatus,yes,Squamata,Sauria,Liolaemidae,52.7,SVL,"Liolaeumus, Pincheira-Donoso et al. 2011",-4.678,3.097,0.65,4.5,yes,Liolaemus pseudolemniscatus
Phyllodactylus gilberti,yes,Squamata,Sauria,Phyllodactylidae,55.5,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.65,4.5,no,NA
Dibamus montanus,yes,Squamata,Sauria,Dibamidae,130.0,SVL,Limbless lizards,-4.207,2.300,0.66,4.5,yes,Dibamus montanus
Anolis aliniger,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis aliniger
Anolis breslini,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Anolis chloris,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis chloris
Anolis kemptoni,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis kemptoni
Anolis laevis,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Anolis mestrei,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis mestrei
Anolis monensis,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis monensis
Anolis pijolense,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Anolis purpurgularis,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis purpurgularis
Anolis schiedii,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Anolis shrevei,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,yes,Anolis shrevei
Anolis tolimensis,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Anolis villai,yes,Squamata,Sauria,Dactyloidae,60.0,SVL,Anolis (Novosolov et al. 2013),-4.574,2.942,0.66,4.5,no,NA
Oligosoma repens,yes,Squamata,Sauria,Scincidae,61.8,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,no,NA
Lerista desertorum,yes,Squamata,Sauria,Scincidae,93.0,SVL,leg_reduced lizards,-4.207,2.472,0.66,4.6,yes,Lerista desertorum
Asaccus kermanshahensis,yes,Squamata,Sauria,Phyllodactylidae,55.7,SVL,Phyllodactylidae (Scharf et al. 2014),-4.482,2.945,0.66,4.6,no,NA
Cyrtodactylus ranongensis,yes,Squamata,Sauria,Gekkonidae,59.6,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.66,4.6,no,NA
Hemidactylus stejnegeri,yes,Squamata,Sauria,Gekkonidae,59.6,SVL,Gekkonidae (Novosolov et al. 2013),-4.242,2.761,0.66,4.6,no,NA
Draco biaro,yes,Squamata,Sauria,Agamidae,76.1,SVL,Draco**,-4.310,2.642,0.66,4.6,yes,Draco biaro
Apathya yassujica,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,no,NA
Darevskia daghestanica,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,yes,Darevskia daghestanica
Darevskia defilippii,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,no,NA
Ichnotropis chapini,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,no,NA
Latastia boscai,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,no,NA
Meroles cuneirostris,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,yes,Meroles cuneirostris
Mesalina balfouri,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,yes,Mesalina balfouri
Philochortus spinalis,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,yes,Philochortus spinalis
Psammodromus microdactylus,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,no,NA
Takydromus sylvaticus,yes,Squamata,Sauria,Lacertidae,58.0,SVL,Lacertidae,-4.543,2.951,0.66,4.6,yes,Takydromus sylvaticus
Ctenotus leae,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,yes,Ctenotus leae
Emoia ahli,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,no,NA
Lacertaspis rohdei,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,yes,Lacertaspis rohdei
Oligosoma hardyi,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,yes,Cyclodina hardyi
Panaspis helleri,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,no,NA
Pseudemoia rawlinsoni,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,no,NA
Trachylepis tavaratra,yes,Squamata,Sauria,Scincidae,62.0,SVL,Legged Scincidae,-5.125,3.229,0.66,4.6,no,NA
Brachymeles apus,yes,Squamata,Sauria,Scincidae,131.0,SVL,Limbless lizards,-4.207,2.300,0.66,4.6,yes,Brachymeles apus
